name,description,main_muscle
Barbell Squat,,Legs
Dumbbell Lunges,,Legs
Leg Curls,,Legs
Leg Press,,Legs
Calf Raises,,Legs
Leg Extension,,Legs
Standing Calf Raise,,Legs
Sitting Calf Raise,,Legs
Barbell Bench Press,,Chest
Dumbbell Bench Press,,Chest
Chest Fly,,Chest
Pull-up,,Back
Pull-down,,Back
Bent-over Row,,Back
Deadlift,,Back
Barbell Shoulder Press,,Shoulders
Seated Dumbbell Shoulder Press,,Shoulders
Shoulder Fly,,Shoulders
Shoulder Shrug,,Shoulders
Upright Row,,Shoulders
Bicep Curl,,Biceps
Hammer Curl,,Biceps
Leg Raise,,Abs